lat,lng,group,what_3_words,elevation
-25.16260835475841,-25.16260835475841,0,compellingly.conveyors.singly,""
-25.21485533086615,-25.21485533086615,1,maroon.desolate.prostration,""
-25.535205215463172,-25.535205215463172,2,fleshly.subscription.cataclysm,""
-25.478683807380904,-25.478683807380904,3,charity.radical.believed,""
-25.455697059631042,-25.455697059631042,4,dissuades.snuffed.groaned,""
-25.598591631045615,-25.598591631045615,5,overtired.shrines.psychosis,""
-25.676847802620397,-25.676847802620397,6,cleverness.downturn.strikingly,""
-25.801779999032316,-25.801779999032316,7,chronicle.plusher.bunkers,""
-24.799691673840165,-24.799691673840165,8,aptitude.scales.touchpad,""
-24.650987800883012,-24.650987800883012,9,croon.bromide.secretes,""
-24.63376053589227,-24.63376053589227,10,deflects.gladed.neaten,""
-23.517963084669205,-23.517963084669205,11,millennial.loggerheads.solar,""
-23.321545027333812,-23.321545027333812,12,shabbier.previous.harmful,""
-22.666690119623944,-22.666690119623944,13,journalists.hiya.glimmered,""
-22.86821554395828,-22.86821554395828,14,staring.recessionary.inasmuch,""
-22.704902437306536,-22.704902437306536,15,pantomimes.headsets.regent,""
-22.872191848722235,-22.872191848722235,16,eventualities.baggier.broomstick,""
-22.931690956426248,-22.931690956426248,17,affirmation.rears.chastised,""
-22.372849657436678,-22.372849657436678,18,unlaced.managing.safeguards,""
-22.97227018619794,-22.97227018619794,19,seaworthy.benefit.defended,""
-22.860494552736753,-22.860494552736753,20,foal.driveshaft.demolishes,""
-22.98265586586879,-22.98265586586879,21,slap.spatiality.blissfully,""
-23.041268514580224,-23.041268514580224,22,forensic.extroversion.intraparty,""
-24.04268901259845,-24.04268901259845,23,felons.prerace.honeysuckle,""
-22.953996107835167,-22.953996107835167,24,rubbers.reformed.inspected,""
-22.939277286910517,-22.939277286910517,25,meetings.encircle.blockages,""
-22.97049636756067,-22.97049636756067,26,roundups.incompatibility.utilities,""
-23.001933920955928,-23.001933920955928,27,fidgeting.recites.creating,""
-22.9508443212896,-22.9508443212896,28,cloners.fearing.bleeper,""
-23.103075329814303,-23.103075329814303,29,tune.inconceivable.joysticks,""
-23.150056672872765,-23.150056672872765,30,abiding.unclips.zenlike,""
